event,p_event
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
nonevent,0.455
